user,text
1277001831235964929,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano La cantidad de muertes ha vuelto a subir, hasta ayer se estaba entre 170-180 por dia, ahora alrededor de 200."
1277001762520608768,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Quiero las cifras del perro droopy , son fiables jajajaja"
1277001503669190658,"@mijvalera @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Camino a la tumba sera. Si el gobierno hubiera haceptado el oxigeno que le donaba la Soudther Peru, muchos se hubieran salvado. #IzquierdaParasita"
1277001427714482176,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano EXHULTANTES CIFRAASS!!!
Indice de Covilidialeidad Contagiosa""R""DESCIENDEN 137 PUNTOOS!!WOW👏💪😱👏💪❤️✊🇵🇪
Cifra de Descensos!!!!EN FRANCO DESCENSOS SEMANAL!!
Record ABSOLUTOO DE RECUPERADOS!!!!👏👏
Clinicas A Servicio del Puebloo!!✊🇵🇪
Letalidad BAJISISIMAA!!! BIEN AHH!!👏👏🇵🇪✊"
1277001336257724416,"@ensustrece @Minsa_Peru Algubas, Ya dijeron que devolveran lo pagado en exceso. SUSALUD vera caso por caso en cada clinica. No deberia pagarse mas de lo acordado, que es U$55,000"
1277001267081027586,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Los datos en el .csv son actualizados manualmente cada dia por mi. Estoy considerando en automatizar el proceso con la API de Twitter (o lo que sea mas conveniente para este caso) y OCR. Mi tiempo es limitado pero tartare mejorarlo en las proximas semanas #PeruEstaEnNuestrasManos
1277001260282019840,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Perrrooooo!
1277001251327279105,@henrycandia @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Debe estar tomando lonche xd
1277001201553375232,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Casi 200 muertes a hoy sabado , letalidad debe de estar en 3.30 ."
1277001014734970882,@imprudentes6 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Confirmo ah
1277001006711267328,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano El martes alcanzamos a España , segun esta lista del MINSA ."
1277000991548887042,"@Franco1333 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Es un analisis, no un lloriqueo como los mediocres fujimoristas....como tu comprenderas."
1277000906270261249,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Esperando que llegue el heroe sin capa
1277000890256416769,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Cada vez el porcentaje de los dados de alta es mas alto que los enfermos activos por #COVID-19 en el Peru. Eso es señal de que vamos por buen camino 💪🏻🇵🇪#SiSePuede
1277000865598132232,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano He creado un archivo .csv con la informacion que el MINSA ha ido publicando en su cuenta de Twitter. Por el momento es bastante rudimentario pero estare trabajando en mi tiempo libre en mejorarlo. Espero sea util para quien lo necesite! #COVID19 Link: https://t.co/OXXB8na7VO
1277000821469859840,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Siendo objetivos ya se ve la meseta las cifras estan estables
1277000717140725760,@imprudentes6 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Hildebrandt odia a Fujimori https://t.co/5QhGrawXco
1277000687063310336,"#Dia104 || Emergencia Nacional por #Covid_19 
Los casos positivos suman 275,989 y los fallecidos ascienden a 9,135 a nivel nacional segun fuentes del @Minsa_Peru.
Por lo visto la famosa meseta nunca llega🤦‍♂️😠
#QuedateEnCasa
#YoMeQuedoEnCasa https://t.co/PisscnPmT9"
1277000605534433282,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano 3700 nuevos contagios ,"
1277000481034903553,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano ¡Dia 104-27/06/2020!🇵🇪

ChatBot: https://t.co/eCbr4hoXLj

COVID 19-🇵🇪

🔴ACTIVO:37.26%
🟢RECUPERADOS:59.43%
⚫LETALIDAD:3.31%

Respecto de ayer:
🔴Nuevos casos:3625
🟢Nuevos Recuperados:4218
⚫Nuevos Fallecidos:196

🔵N° Pruebas:20614
🟠%: 17.59%

#QuedateEnCasa 
#COVID__19 https://t.co/KpeAKOlT6L"
1277000443982471168,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Horita salen a trollear los fujiapristas mediocres y llorones.
1277000319214456834,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Esperando al chico que pone el resumen
1277000269860134913,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Veamos las cifras !!!
1277000041723564032,"es una gran alegria para todos los casquenos la firma de este contrato, esperamos con anhelo este hospital que deberia ser una gran avance para salud del pueblo cusqueño @FranklinMsc @Minsa_Peru @gorecusco https://t.co/8LQauzKZL8"
1276999879882047489,"@Gatitadelsur @3001rafa @Minsa_Peru Van a decir que su trabajito es gratuito.
Pobrecita."
1276999077331439618,@alejandrolengua @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano 13mil fallecidos
1276998839233372162,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano @DoctorTilde querido Profesor y amigo, es correcta la palabra concienciar? Gracias.  Ver tweet de arriba. Gracias"
1276998666394492928,"#AlertaCajamarca El Colegio Medico, ante el explosivo crecimiento de casos #COVID19, pide a las autoridades el retorno a cuarentena, apoyo con personal de salud, equipamiento. Urge cinco medicos internistas y enfermeras especialistas  ⁦@Minsa_Peru⁩ ⁦@EsSaludPeru⁩ https://t.co/ZueUb02jiC"
1276998584458674176,"@Gatitadelsur @Minsa_Peru #ConfiepFujiaprismo Mas de 122 mil Peruanos Muertos.
#Cuento del Terroristas
Cayara, cantuta, Baguazo, Lurigancho, barrios Altos, Fronton,
Grupo Colina, Rodrigo Franco, Uchuraccay, esterilizaciones, colera, gripe HiNi, despidos masivos, Violaciones y muerte. Etc."
1276998034476412928,@danaloby @Minsa_Peru Deberian denunciarlo x genocidio
1276997766691110913,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Desgraciados tienen la data desde ayer de los infectados y hasta ahora no la publican.
1276995575150514176,"Revisando los registros de las causales de muerte por medio del SINADEF, hay una diversidad de terminos que le dan al CoVid-19: COVD COID CODVID CIVID OVID CPVID COBIV CVID CORANOVIRUS sars32.
Esto denota URGENTE un sistema de registros con lista desplegables.
@Minsa_Peru https://t.co/5mP5jac3s2"
1276995234371719168,"@Judycastro2 @rparrawong @Minsa_Peru Los distritos populosos  mas afectados, pero tambien mira el numero de habitantes como en SJL mas de un millon a comparacion de otros que son mucho menos habitantes."
1276994524049559559,"@Minsa_Peru @rparrawong @Agencia_Andina @noticiAmerica @noticias_tvperu @RadioNacionalFM Ejemplo de estudio epidemiologico en España,100000 personas muestreadas por todo el pais, se les hizo 2 test moleculares a cada uno con 15 dias de intervalo,para el MINSA muestrear lima es muestrear todo el pais y en 3 dias y con test rapidos 🤦🤦🤦🤦"
1276994209292210178,"@pcmperu @MindefPeru @MininterPeru @MINPRODUCCION @MEF_Peru @MTPE_Peru @MINCETUR @MinCulturaPe @MinjusDH_Peru @Minsa_Peru @presidenciaperu Vivo en San Martin y tengo un restaurante, el articulo 3 exceptua del toque de queda a ""actividades relacionadas a la reactivacion economica"" puedo seguir haciendo delivery despues de las 20:00 horas? Sino es asi nuevamente estan liquidando a nuestro rubro https://t.co/tpr5SXJ3a2"
